"fonte"	"formulario"	"numero_label"	"variavel"	"idV"	"resposta"	"tipo_questao"	"descricao"	"obsV"	"numero_pagina"	"limite_caracteres"	"palavras_chave"	"respostas_ilimitadas"	"texto_orientacao"
"1643"	"2.3"	""	"uf"	"Sigla da UF"	"Somente texto"	"Somente texto"	"Sigla da Unidade Federativa"	""	""	""	""	""	""
"1643"	"2.3"	""	"nome_municipio"	"Nome do município"	"Somente texto"	"Somente texto"	"Nome do município"	""	""	""	""	""	""
"1643"	"2.3"	""	"formulario"	"Código do formulário"	"Campo aberto"	"Campo aberto"	"Código do formulário"	""	""	""	""	""	""
"1643"	"2.3"	""	"versao_salva"	"Código da versão salva do formulário"	"Apenas número"	"Apenas número"	"Código da versão salva do formulário"	""	""	""	""	""	""
"1643"	"2.3"	""	"codigo_municipio"	"Código IBGE do município"	"Apenas número"	"Apenas número"	"Código IBGE do município"	""	""	""	""	""	""
"1643"	"2.3"	"1"	"v14067_10"	"Em quais áreas de políticas públicas são desenvolvidas ações de SAN no município?"	"Assistência Social ou Desenvolvimento Social ou Direitos Humanos"	"Checkbox"	"Considerar todas as ações de SAN realizadas no município, sejam financiadas com recursos federais, estaduais ou municipais"	""	"1"	""	""	""	""
"1643"	"2.3"	"1"	"v14067_15"	"Em quais áreas de políticas públicas são desenvolvidas ações de SAN no município?"	"Desenvolvimento Agrário ou Rural ou Abastecimento"	"Checkbox"	"Considerar todas as ações de SAN realizadas no município, sejam financiadas com recursos federais, estaduais ou municipais"	""	"1"	""	""	""	""
"1643"	"2.3"	"1"	"v14067_20"	"Em quais áreas de políticas públicas são desenvolvidas ações de SAN no município?"	"Desenvolvimento Econômico / Trabalho / Empreendedorismo"	"Checkbox"	"Considerar todas as ações de SAN realizadas no município, sejam financiadas com recursos federais, estaduais ou municipais"	""	"1"	""	""	""	""
"1643"	"2.3"	"1"	"v14067_25"	"Em quais áreas de políticas públicas são desenvolvidas ações de SAN no município?"	"Saúde"	"Checkbox"	"Considerar todas as ações de SAN realizadas no município, sejam financiadas com recursos federais, estaduais ou municipais"	""	"1"	""	""	""	""
"1643"	"2.3"	"1"	"v14067_30"	"Em quais áreas de políticas públicas são desenvolvidas ações de SAN no município?"	"Educação"	"Checkbox"	"Considerar todas as ações de SAN realizadas no município, sejam financiadas com recursos federais, estaduais ou municipais"	""	"1"	""	""	""	""
"1643"	"2.3"	"1"	"v14067_35"	"Em quais áreas de políticas públicas são desenvolvidas ações de SAN no município?"	"Cultura, Esporte e Lazer"	"Checkbox"	"Considerar todas as ações de SAN realizadas no município, sejam financiadas com recursos federais, estaduais ou municipais"	""	"1"	""	""	""	""
