"fonte"	"formulario"	"numero_label"	"variavel"	"idV"	"resposta"	"tipo_questao"	"descricao"	"obsV"	"numero_pagina"	"limite_caracteres"	"palavras_chave"	"respostas_ilimitadas"	"texto_orientacao"
"1636"	"3.4.1"	""	"uf"	"Sigla da UF"	"Somente texto"	"Somente texto"	"Sigla da Unidade Federativa"	""	""	""	""	""	""
"1636"	"3.4.1"	""	"nome_municipio"	"Nome do município"	"Somente texto"	"Somente texto"	"Nome do município"	""	""	""	""	""	""
"1636"	"3.4.1"	""	"formulario"	"Código do formulário"	"Campo aberto"	"Campo aberto"	"Código do formulário"	""	""	""	""	""	""
"1636"	"3.4.1"	""	"versao_salva"	"Código da versão salva do formulário"	"Apenas número"	"Apenas número"	"Código da versão salva do formulário"	""	""	""	""	""	""
"1636"	"3.4.1"	""	"codigo_municipio"	"Código IBGE do município"	"Apenas número"	"Apenas número"	"Código IBGE do município"	""	""	""	""	""	""
"1636"	"3.4.1"	"1"	"v9959"	"Nome da Feira Livre ou Popular:"	"Campo aberto"	"Campo aberto"	"Informe o nome ou a denominação da Feira Livre ou Popular"	""	"1"	""	""	""	""
"1636"	"3.4.1"	"2"	"v9960"	"Tipo de Feira Livre ou Popular"	"Feira Convencional - que não comercializa alimentos orgânicos ou de base agroecológica ou Feira Convencional - que comercializa parte dos produtos orgânicos e/ou de base agroecológica ou Feira agroecológica ou de produtos orgânicos - que comercializa exclusivamente ou majoritariamente produtos orgânicos e/ou de base agroecológica ou Não sabe"	"Radio"	"Selecione a opção que melhor caracteriza a Feira Livre ou Popular segundo o tipo de alimentos comercializados."	""	"1"	""	""	""	""
"1636"	"3.4.1"	"3"	"v9961"	"Periodicidade da Feira:"	"Diariamente ou Semanal ou Quinzenal ou Mensal ou Trimestral ou Semestral ou Anual ou Não é regular ou Não Sabe"	"Radio"	"Informe qual é a periodicidade em que a feira ocorre."	""	"1"	""	""	""	""
"1636"	"3.4.1"	"4"	"v9962"	"Endereço da  Feira:"	"Textarea "	"Textarea "	"Endereço completo da Feira Livre ou Popular"	""	"1"	""	""	""	""
"1636"	"3.4.1"	"4.1"	"v9963"	"Bairro:"	"Campo aberto"	"Campo aberto"	"Informe o Bairro da Feira Livre ou Popular"	""	"1"	""	""	""	""
"1636"	"3.4.1"	"4.1.1"	"v9964"	"CEP:"	"CEP"	"CEP"	"Informe o CEP da Feira Livre ou Popular"	""	"1"	"9"	""	""	""
"1636"	"3.4.1"	"5"	"v9965"	"Cidade:"	"Campo aberto"	"Campo aberto"	"Preenchido automaticamente pelo sistema."	"Combobox (autopreenchido)"	"1"	""	""	""	""
"1636"	"3.4.1"	"6"	"v9966"	"Estado (UF):"	"Campo aberto"	"Campo aberto"	"Preenchido automaticamente pelo sistema."	"Combobox (autopreenchido)"	"1"	""	""	""	""
"1636"	"3.4.1"	""	"usuario"	"CPF do usuário que preencheu o formulário"	"CPF"	"CPF"	"CPF do usuário que preencheu o formulário"	""	""	""	""	""	""
"1636"	"3.4.1"	""	"data_hora_preenchimento"	"Data e hora que o formulário foi salvo"	"Data"	"Data"	"Data e hora que o formulário foi salvo"	""	""	""	""	""	""
"1636"	"3.4.1"	""	"data_hora_extracao"	"Data e hora da geração do relatório"	"Data"	"Data"	"Data e hora da geração do relatório"	""	""	""	""	""	""
 
