"fonte"	"formulario"	"numero_label"	"variavel"	"idV"	"resposta"	"tipo_questao"	"descricao"	"obsV"	"numero_pagina"	"limite_caracteres"	"palavras_chave"	"respostas_ilimitadas"	"texto_orientacao"
"1638"	"3.4.3"	""	"uf"	"Sigla da UF"	"Somente texto"	"Somente texto"	"Sigla da Unidade Federativa"	""	""	""	""	""	""
"1638"	"3.4.3"	""	"nome_municipio"	"Nome do município"	"Somente texto"	"Somente texto"	"Nome do município"	""	""	""	""	""	""
"1638"	"3.4.3"	""	"formulario"	"Código do formulário"	"Campo aberto"	"Campo aberto"	"Código do formulário"	""	""	""	""	""	""
"1638"	"3.4.3"	""	"versao_salva"	"Código da versão salva do formulário"	"Apenas número"	"Apenas número"	"Código da versão salva do formulário"	""	""	""	""	""	""
"1638"	"3.4.3"	""	"codigo_municipio"	"Código IBGE do município"	"Apenas número"	"Apenas número"	"Código IBGE do município"	""	""	""	""	""	""
"1638"	"3.4.3"	"1"	"v9136"	"Nome de Identificação da Cozinha Comunitária:"	"Campo aberto"	"Campo aberto"	"Informe o nome ou a denominação da Cozinha Comunitária."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
"1638"	"3.4.3"	"1.1"	"v9137"	"Endereço da Cozinha Comunitária:"	"Textarea "	"Textarea "	"Endereço completo da Cozinha Comunitária."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
"1638"	"3.4.3"	"1.2"	"v9138"	"Bairro:"	"Campo aberto"	"Campo aberto"	"Bairro da Cozinha Comunitária."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
"1638"	"3.4.3"	"1.3"	"v9139"	"CEP:"	"CEP"	"CEP"	"CEP da Cozinha Comunitária."	""	"1"	"9"	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
"1638"	"3.4.3"	"1.4"	"v9140"	"Cidade:"	"Campo aberto"	"Campo aberto"	"Preenchido automaticamente pelo sistema."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
"1638"	"3.4.3"	"1.5"	"v9141"	"Estado (UF):"	"Somente texto"	"Somente texto"	"Preenchido automaticamente pelo sistema."	""	"1"	"2"	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
"1638"	"3.4.3"	"1.6"	"v9142"	"Telefone:"	"Telefone"	"Telefone"	"Telefone da Cozinha Comunitária com DDD."	""	"1"	"9"	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
"1638"	"3.4.3"	"1.7"	"v9143"	"E-mail:"	"E-mail"	"E-mail"	"Informe o e-mail da Cozinha Comunitária ou do responsável administrativo."	""	"1"	"50"	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
"1638"	"3.4.3"	"1.8"	"v9144"	"Página da internet (site):"	"Campo aberto"	"Campo aberto"	"Caso exista, informe o endereço do website da Cozinha Comunitária ou com informações sobre o EPSAN."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
"1638"	"3.4.3"	"2"	"v9145"	"Qual a situação da cozinha comunitária?"	"Em funcionamento ou Em construção ou Paralisad"	"Radio"	"Informar a situação atual da Cozinha Comunitária."	"Se resposta 1, abrir variáveis Habilitar todas iniciadas com 2 com exceção de 2.10, 2.10.1 e 2.11 ### Se resposta 2, abrir variável 9163 (Habilitar 2.11) ### Se resposta 3, abrir variável 9159 e 9160 (2.10 e 2.10.1)"	"2"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, cozinha comunitária"	""	""
