"fonte"	"formulario"	"numero_label"	"variavel"	"idV"	"resposta"	"tipo_questao"	"descricao"	"obsV"	"numero_pagina"	"limite_caracteres"	"palavras_chave"	"respostas_ilimitadas"	"texto_orientacao"
"1632"	"1.2"	""	"uf"	"Sigla da UF"	"Somente texto"	"Somente texto"	"Sigla da Unidade Federativa"	""	""	""	""	""	""
"1632"	"1.2"	""	"nome_municipio"	"Nome do município"	"Somente texto"	"Somente texto"	"Nome do município"	""	""	""	""	""	""
"1632"	"1.2"	""	"formulario"	"Código do formulário"	"Campo aberto"	"Campo aberto"	"Código do formulário"	""	""	""	""	""	""
"1632"	"1.2"	""	"versao_salva"	"Código da versão salva do formulário"	"Apenas número"	"Apenas número"	"Código da versão salva do formulário"	""	""	""	""	""	""
"1632"	"1.2"	""	"codigo_municipio"	"Código IBGE do município"	"Apenas número"	"Apenas número"	"Código IBGE do município"	""	""	""	""	""	""
"1632"	"1.2"	"1"	"v8973"	"As ações de segurança alimentar e nutricional são coordenadas por qual órgão municipal?"	"Gabinete do Prefeito ou Câmara Intersetorial de Segurança Alimentar e Nutricional - Caisan ou Secretaria Municipal de Segurança Alimentar e Nutricional ou similar ou Departamento de Segurança Alimentar e Nutricional (ou Diretoria, Secretaria Executiva, Secretaria Adjunta, Subsecretaria ou similar) ou Coordenação de Segurança Alimentar e Nutricional (ou Seção, Setor ou similar) ou Gerência de Segurança Alimentar e Nutricional (ou Divisão, Superintendência ou similar) ou Outro órgão municipal ou Não há um órgão para coordenar as ações de Segurança Alimentar e Nutricional ou Não Sabe"	"Radio"	"Marque qual é o espaço institucional específico para a gestão das ações de Segurança Alimentar e Nutricional no município. ###  ### Principais Conceitos: ###  ### Espaço institucional específico para a gestão das ações de Segurança Alimentar e Nutricional consiste em um órgão ou instância municipal qualquer, responsável pela gestão das ações de SAN no município, que pode ser uma Secretaria Municipal, ou subsecretaria, ou departamento, ou coordenação, ou superintendência, ou núcleo, ou qualquer outra instância de coordenação das ações de SAN em uma ou mais Secretarias Municipais."	""	"1"	""	"Gestão; SISAN"	""	""
"1632"	"1.2"	"1.1"	"v13819"	"A qual secretaria municipal está vinculada o órgão que coordena as ações de SAN no seu município?"	"Gabinete do Executivo / Prefeito(a) ou Secretaria Municipal de Assistência Social / Desenvolvimento Social ou órgão similar ou Secretaria Municipal de Desenvolvimento Agrário / Agricultura / Abastecimento ou órgão similar ou Secretaria Municipal do Trabalho / Empreendedorismo / Desenvolvimento Econômico ou órgão similar ou Secretaria Municipal de Educação ou órgão similar ou Secretaria Municipal de Saúde ou órgão similar ou Secretaria Municipal de Direitos Humanos ou órgão similar ou Secretaria Municipal de Cultura ou órgão similar ou Secretaria Municipal de Esporte, Lazer, Juventude ou órgão similar ou Outra Secretaria Municipal ou Outro órgão municipal"	"Radio"	""	""	"1"	""	""	""	""
"1632"	"1.2"	"1.2"	"v13820"	"O órgão responsável pela coordenação das ações de SAN caracteriza-se como:"	"Órgão de articulação intersetorial, que coordena ações de SAN realizadas em diversas secretarias / setores de políticas públicas ou Órgão que coordena ações de SAN realizadas em apenas uma secretaria ou área de política pública ou Nenhuma das opções anteriores ou Não Sabe"	"Radio"	"Selecione a primeira opção caso o órgão que coordena as ações de SAN no município seja responsável pela articulação de ações realizadas em uma ou mais secretarias municipais.<br /> ### Selecione a segunda opção caso o órgão seja responsável pelas ações de SAN realizadas APENAS e SOMENTE em uma secretaria municipal."	"Caso a opção 10 seja selecionada habilitar 1.3"	"1"	""	""	""	""
"1632"	"1.2"	"1.3"	"v13821_10"	"O órgão responsável pelas ações de SAN articula/coordena ações em quais áreas de políticas públicas realizadas no município:"	"Abastecimento"	"Checkbox"	"Selecione as áreas de políticas públicas nas quais o órgão tem responsabilidade de coordenar ou articular ações de SAN"	""	"1"	""	""	""	""
"1632"	"1.2"	"1.3"	"v13821_15"	"O órgão responsável pelas ações de SAN articula/coordena ações em quais áreas de políticas públicas realizadas no município:"	"Agricultura e/ou Agropecuária"	"Checkbox"	"Selecione as áreas de políticas públicas nas quais o órgão tem responsabilidade de coordenar ou articular ações de SAN"	""	"1"	""	""	""	""
