"fonte"	"formulario"	"numero_label"	"variavel"	"idV"	"resposta"	"tipo_questao"	"descricao"	"obsV"	"numero_pagina"	"limite_caracteres"	"palavras_chave"	"respostas_ilimitadas"	"texto_orientacao"
"1637"	"3.4.2"	""	"uf"	"Sigla da UF"	"Somente texto"	"Somente texto"	"Sigla da Unidade Federativa"	""	""	""	""	""	""
"1637"	"3.4.2"	""	"nome_municipio"	"Nome do município"	"Somente texto"	"Somente texto"	"Nome do município"	""	""	""	""	""	""
"1637"	"3.4.2"	""	"formulario"	"Código do formulário"	"Campo aberto"	"Campo aberto"	"Código do formulário"	""	""	""	""	""	""
"1637"	"3.4.2"	""	"versao_salva"	"Código da versão salva do formulário"	"Apenas número"	"Apenas número"	"Código da versão salva do formulário"	""	""	""	""	""	""
"1637"	"3.4.2"	""	"codigo_municipio"	"Código IBGE do município"	"Apenas número"	"Apenas número"	"Código IBGE do município"	""	""	""	""	""	""
"1637"	"3.4.2"	"1.1"	"v9104"	"Nome de Identificação do Restaurante Popular:"	"Campo aberto"	"Campo aberto"	"Informe o nome ou a denominação do Restaurante Popular."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, restaurante popular"	""	""
"1637"	"3.4.2"	"1.2"	"v13838"	"Endereço do Restaurante Popular:"	"Campo aberto"	"Campo aberto"	"Endereço completo do Restaurante Popular."	"Endereço completo do Restaurante Popular"	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, restaurante popular"	""	""
"1637"	"3.4.2"	"1.3"	"v9110"	"Bairro:"	"Campo aberto"	"Campo aberto"	"Bairro do Restaurante Popular."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, restaurante popular"	""	""
"1637"	"3.4.2"	"1.4"	"v9111"	"CEP:"	"CEP"	"CEP"	"CEP do Restaurante Popular."	""	"1"	"9"	"Gestão, Sisan, Equipamentos Públicos de SAN, restaurante popular"	""	""
"1637"	"3.4.2"	"1.5"	"v9112"	"Cidade:"	"Campo aberto"	"Campo aberto"	"Preenchido automaticamente pelo sistema."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, restaurante popular"	""	""
