"fonte"	"formulario"	"numero_label"	"variavel"	"idV"	"resposta"	"tipo_questao"	"descricao"	"obsV"	"numero_pagina"	"limite_caracteres"	"palavras_chave"	"respostas_ilimitadas"	"texto_orientacao"
"1640"	"3.4.5"	""	"uf"	"Sigla da UF"	"Somente texto"	"Somente texto"	"Sigla da Unidade Federativa"	""	""	""	""	""	""
"1640"	"3.4.5"	""	"nome_municipio"	"Nome do município"	"Somente texto"	"Somente texto"	"Nome do município"	""	""	""	""	""	""
"1640"	"3.4.5"	""	"formulario"	"Código do formulário"	"Campo aberto"	"Campo aberto"	"Código do formulário"	""	""	""	""	""	""
"1640"	"3.4.5"	""	"versao_salva"	"Código da versão salva do formulário"	"Apenas número"	"Apenas número"	"Código da versão salva do formulário"	""	""	""	""	""	""
"1640"	"3.4.5"	""	"codigo_municipio"	"Código IBGE do município"	"Apenas número"	"Apenas número"	"Código IBGE do município"	""	""	""	""	""	""
"1640"	"3.4.5"	"1"	"v9196"	"Nome de Identificação da Central de Distribuição da Agricultura Familiar:"	"Campo aberto"	"Campo aberto"	"Informe o nome ou a denominação da Unidade de Apoio à Distribuição da Agricultura Familiar."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, Unidade de Distribuição da Agricultura Familiar"	""	""
"1640"	"3.4.5"	"1.1"	"v9197"	"Endereço da Central de Distribuição da Agricultura Familiar:"	"Textarea "	"Textarea "	"Informe o endereço da Unidade de Apoio à Distribuição da Agricultura Familiar (UADAF)."	""	"1"	""	"Sisan, Equipamentos Públicos de SAN, Unidade de Distribuição da Agricultura Familiar"	""	""
"1640"	"3.4.5"	"1.2"	"v9198"	"Bairro:"	"Campo aberto"	"Campo aberto"	"Informe o Bairro da UADAF"	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, central de apoio a agricultura familiar"	""	""
"1640"	"3.4.5"	"1.3"	"v9199"	"CEP:"	"CEP"	"CEP"	"Informe o CEP da UADAF"	""	"1"	"9"	"Gestão, Sisan, Equipamentos Públicos de SAN, central de apoio a agricultura familiar"	""	""
"1640"	"3.4.5"	"1.4"	"v9200"	"Cidade:"	"Campo aberto"	"Campo aberto"	"Preenchido automaticamente pelo sistema."	"Combobox (autopreenchido)"	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, central de apoio a agricultura familiar"	""	""
"1640"	"3.4.5"	"1.5"	"v9201"	"Estado (UF):"	"Campo aberto"	"Campo aberto"	"Preenchido automaticamente pelo sistema."	"Combobox (autopreenchido)"	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, central de apoio a agricultura familiar"	""	""
"1640"	"3.4.5"	"1.6"	"v9202"	"Telefone:"	"Telefone"	"Telefone"	"Informe o telefone da UADAF com DDD"	""	"1"	"9"	"Gestão, Sisan, Equipamentos Públicos de SAN, central de apoio a agricultura familiar"	""	""
"1640"	"3.4.5"	"1.7"	"v9203"	"E-mail:"	"E-mail"	"E-mail"	"Informe o e-mail da UADAF ou do responsável administrativo."	""	"1"	"50"	"Gestão, Sisan, Equipamentos Públicos de SAN, central de apoio a agricultura familiar"	""	""
"1640"	"3.4.5"	"1.8"	"v9204"	"Página da internet (site):"	"Campo aberto"	"Campo aberto"	"Caso exista, informe o endereço do website da UADAF ou com informações sobre o EPSAN."	""	"1"	""	"Gestão, Sisan, Equipamentos Públicos de SAN, central de apoio a agricultura familiar"	""	""
"1640"	"3.4.5"	"2"	"v9205"	"Qual a situação da Central de Distribuição da Agricultura Familiar?"	"Em funcionamento ou Em construção ou Paralisad"	"Radio"	"Informar a situação atual da UADAF."	""Se resposta 1, abrir variáveis 9991 a 9996 ### Se resposta 2, abrir variável 9219 ### Se resposta 3, abrir variável  9215""	"2"	""	"Equipamentos Públicos de SAN, Unidade de Distribuição da Agricultura Familiar"	""	""
"1640"	"3.4.5"	"2.1"	"v9991_1"	"A Central de Distribuição da Agricultura Familiar foi construída com quais recursos?"	"Com recursos do município"	"Checkbox"	"Informe quais foram as fontes de financiamento que viabilizaram a construção da UADAF."	"Se resposta 5, então abrir variável 9992"	"2"	""	""	""	""
"1640"	"3.4.5"	"2.1"	"v9991_2"	"A Central de Distribuição da Agricultura Familiar foi construída com quais recursos?"	"A partir de parceria e recursos do Estado"	"Checkbox"	"Informe quais foram as fontes de financiamento que viabilizaram a construção da UADAF."	"Se resposta 5, então abrir variável 9992"	"2"	""	""	""	""
"1640"	"3.4.5"	"2.1"	"v9991_3"	"A Central de Distribuição da Agricultura Familiar foi construída com quais recursos?"	"A partir de parceria e recursos da iniciativa privada"	"Checkbox"	"Informe quais foram as fontes de financiamento que viabilizaram a construção da UADAF."	"Se resposta 5, então abrir variável 9992"	"2"	""	""	""	""
"1640"	"3.4.5"	"2.1"	"v9991_4"	"A Central de Distribuição da Agricultura Familiar foi construída com quais recursos?"	"A partir de parceria e recursos do MDS"	"Checkbox"	"Informe quais foram as fontes de financiamento que viabilizaram a construção da UADAF."	"Se resposta 5, então abrir variável 9992"	"2"	""	""	""	""
"1640"	"3.4.5"	"2.1"	"v9991_98"	"A Central de Distribuição da Agricultura Familiar foi construída com quais recursos?"	"Outra forma de financiamento"	"Checkbox"	"Informe quais foram as fontes de financiamento que viabilizaram a construção da UADAF."	"Se resposta 5, então abrir variável 9992"	"2"	""	""	""	""
"1640"	"3.4.5"	"2.1"	"v9991_99"	"A Central de Distribuição da Agricultura Familiar foi construída com quais recursos?"	"Não Sabe"	"Checkbox"	"Informe quais foram as fontes de financiamento que viabilizaram a construção da UADAF."	"Se resposta 5, então abrir variável 9992"	"2"	""	""	""	""
"1640"	"3.4.5"	"2.2"	"v9993_1"	"Qual é a origem dos recursos para manutenção da Central de Distribuição da Agricultura Familiar?"	"Recursos próprios"	"Checkbox"	"Informe quais foram as fontes de financiamento que viabilizam a manutenção da UADAF."	"Se resposta 5, então abrir variável 9994"	"2"	""	""	""	""
