"fonte"	"formulario"	"numero_label"	"variavel"	"idV"	"resposta"	"tipo_questao"	"descricao"	"obsV"	"numero_pagina"	"limite_caracteres"	"palavras_chave"	"respostas_ilimitadas"	"texto_orientacao"
"1631"	"1.1"	""	"uf"	"Sigla da UF"	"Somente texto"	"Somente texto"	"Sigla da Unidade Federativa"	""	""	""	""	""	""
"1631"	"1.1"	""	"nome_municipio"	"Nome do município"	"Somente texto"	"Somente texto"	"Nome do município"	""	""	""	""	""	""
"1631"	"1.1"	""	"formulario"	"Código do formulário"	"Campo aberto"	"Campo aberto"	"Código do formulário"	""	""	""	""	""	""
"1631"	"1.1"	""	"versao_salva"	"Código da versão salva do formulário"	"Apenas número"	"Apenas número"	"Código da versão salva do formulário"	""	""	""	""	""	""
"1631"	"1.1"	""	"codigo_municipio"	"Código IBGE do município"	"Apenas número"	"Apenas número"	"Código IBGE do município"	""	""	""	""	""	""
"1631"	"1.1"	"1"	"v8957"	"Nome do(a) responsável pelas informações fornecidas na pesquisa:"	"Somente texto"	"Somente texto"	"Nome completo do(a) gestor(a) ou técnico(a) responsável pelo preenchimento e pelas informações apresentadas no questionário do MapaSAN 2022."	""	"1"	""	""	""	""
"1631"	"1.1"	"2"	"v9843"	"Secretaria Municipal ou outro órgão ao qual está vinculado(a):"	"Somente texto"	"Somente texto"	"Denominação do órgão da gestão municipal ao qual o gestor ou técnico responsável pelo preenchimento do questionário está vinculado."	""	"1"	""	"Órgão, Órgão gestor"	""	""
"1631"	"1.1"	"3"	"v8959"	"Setor/Departamento ao qual está vinculado(a):"	"Campo aberto"	"Campo aberto"	"Setor do(a) gestor(a) ou técnico(a) responsável pelo preenchimento do MapaSAN 2022."	""	"1"	""	"identificação"	""	""
"1631"	"1.1"	"3.1"	"v8958"	"Cargo/Função do responsável pelas informações fornecidas na pesquisa:"	"Somente texto"	"Somente texto"	"Função ou cargo do(a) gestor(a) ou técnico(a) responsável pelo preenchimento e pelas informações apresentadas no questionário do MapaSAN 2022."	""	"1"	""	"identificação"	""	""
"1631"	"1.1"	"3.2"	"v13807"	"Há quanto tempo exerce o referido cargo ou função (em anos)?"	"Apenas número"	"Apenas número"	""	""	"1"	""	""	""	""
